ID_Étudiant,Âge,Sexe,Région,Niveau_Éducation_Parents,Note_Moyenne,Taux_Absentéisme,Devoirs_Remis,Temps_Moodle_Heures,Participation_Forums,Satisfaction,Abandon,Cluster
Etudiant_24,18,Femme,Périurbain,Secondaire,19.0,25,86,35,19,3,Oui,1
Etudiant_25,26,Homme,Périurbain,Secondaire,1.5,28,63,38,6,10,Oui,1
Etudiant_26,21,Femme,Urbain,Aucun,12.8,14,17,38,4,3,Non,2
Etudiant_27,29,Homme,Rural,Supérieur,7.3,34,81,46,10,8,Oui,1
Etudiant_28,28,Homme,Urbain,Aucun,16.0,13,38,38,5,2,Oui,2
Etudiant_29,29,Femme,Urbain,Secondaire,13.6,48,30,18,10,3,Non,0
Etudiant_30,26,Femme,Périurbain,Secondaire,19.1,49,32,49,1,10,Oui,2
Etudiant_31,24,Femme,Périurbain,Aucun,2.9,3,84,44,0,7,Oui,1
Etudiant_32,21,Homme,Rural,Secondaire,12.2,8,19,1,4,7,Oui,2
Etudiant_33,25,Homme,Urbain,Supérieur,15.6,32,91,42,18,7,Non,1
Etudiant_34,27,Homme,Rural,Supérieur,0.7,18,54,19,4,7,Non,0
Etudiant_35,22,Homme,Urbain,Supérieur,1.3,14,48,13,3,8,Oui,1
Etudiant_36,30,Femme,Périurbain,Secondaire,15.6,46,9,33,16,7,Oui,0
Etudiant_37,18,Femme,Rural,Supérieur,7.3,36,57,38,11,1,Oui,1
Etudiant_38,30,Femme,Urbain,Supérieur,7.7,20,76,32,2,1,Oui,1
Etudiant_39,30,Homme,Périurbain,Secondaire,11.3,36,61,12,11,9,Oui,0
Etudiant_40,20,Femme,Urbain,Aucun,12.1,38,74,47,12,4,Non,1
Etudiant_41,29,Femme,Rural,Aucun,13.6,49,51,25,18,6,Oui,0
Etudiant_42,24,Femme,Périurbain,Secondaire,19.0,43,68,18,3,1,Oui,2
Etudiant_43,23,Femme,Urbain,Supérieur,7.4,20,64,41,10,6,Non,1
Etudiant_44,22,Homme,Urbain,Aucun,15.3,15,88,3,9,9,Non,1
Etudiant_45,20,Homme,Rural,Aucun,11.5,19,53,50,10,4,Non,1
Etudiant_46,21,Femme,Rural,Aucun,10.6,9,69,50,4,1,Non,1
Etudiant_47,30,Homme,Rural,Secondaire,8.0,42,4,15,5,1,Non,0
Etudiant_48,23,Femme,Périurbain,Aucun,13.0,33,46,31,13,4,Non,2
Etudiant_49,19,Homme,Périurbain,Aucun,5.0,14,89,24,20,4,Non,1
Etudiant_50,19,Homme,Rural,Secondaire,2.3,26,68,7,15,6,Oui,0
Etudiant_51,24,Femme,Périurbain,Secondaire,14.7,19,76,15,20,5,Non,1
Etudiant_52,19,Femme,Urbain,Secondaire,10.0,17,81,31,10,3,Oui,1
Etudiant_53,23,Femme,Rural,Aucun,7.7,3,10,40,5,2,Oui,2
Etudiant_54,23,Femme,Périurbain,Aucun,11.2,35,13,38,17,7,Oui,0
Etudiant_55,27,Homme,Périurbain,Secondaire,5.2,37,98,4,19,9,Oui,0
Etudiant_56,22,Femme,Rural,Supérieur,5.2,47,31,33,11,10,Oui,0
Etudiant_57,30,Homme,Rural,Secondaire,8.9,11,84,0,7,5,Non,1
Etudiant_58,18,Femme,Périurbain,Aucun,19.9,40,85,23,18,3,Oui,1
Etudiant_59,29,Homme,Périurbain,Aucun,5.7,43,45,20,5,2,Non,0
Etudiant_60,25,Femme,Rural,Secondaire,18.3,27,21,8,12,1,Non,2
Etudiant_61,26,Homme,Périurbain,Supérieur,9.8,35,82,24,9,5,Oui,1
Etudiant_62,19,Homme,Urbain,Supérieur,2.5,31,78,36,9,5,Non,1
Etudiant_63,24,Femme,Périurbain,Aucun,17.1,3,5,26,4,8,Non,2
Etudiant_64,19,Femme,Urbain,Supérieur,9.0,22,72,23,5,9,Non,1
Etudiant_65,26,Homme,Urbain,Supérieur,18.0,41,82,34,0,10,Non,1
Etudiant_66,22,Femme,Périurbain,Supérieur,8.9,42,86,43,18,9,Oui,1
Etudiant_67,28,Femme,Périurbain,Secondaire,1.8,24,82,11,12,6,Non,0
Etudiant_68,27,Homme,Rural,Aucun,13.6,50,51,48,18,7,Oui,0
Etudiant_69,23,Femme,Urbain,Secondaire,16.9,33,96,30,1,3,Oui,1
Etudiant_70,27,Femme,Périurbain,Supérieur,6.4,20,42,49,5,6,Oui,1
Etudiant_71,21,Femme,Urbain,Aucun,6.9,44,55,4,19,8,Non,0
Etudiant_72,29,Femme,Rural,Secondaire,1.3,26,13,1,10,6,Non,0
Etudiant_73,19,Femme,Urbain,Aucun,10.8,26,1,37,19,4,Oui,2
Etudiant_74,18,Femme,Périurbain,Secondaire,17.8,9,12,4,7,3,Non,2
Etudiant_75,28,Homme,Périurbain,Aucun,17.0,19,33,0,20,7,Non,0
Etudiant_76,21,Homme,Urbain,Secondaire,14.2,24,28,16,18,1,Oui,2
Etudiant_77,30,Femme,Rural,Supérieur,18.5,11,65,13,3,4,Oui,2
Etudiant_78,22,Femme,Urbain,Secondaire,12.8,48,95,2,15,4,Oui,1
Etudiant_79,19,Homme,Périurbain,Supérieur,15.9,34,66,3,4,3,Oui,2
Etudiant_80,21,Femme,Rural,Secondaire,10.2,30,71,50,10,4,Oui,1
Etudiant_81,19,Femme,Urbain,Supérieur,2.4,15,74,25,2,1,Non,1
Etudiant_82,24,Homme,Urbain,Supérieur,4.0,14,88,32,7,10,Oui,1
Etudiant_83,22,Femme,Rural,Secondaire,2.8,19,73,18,11,9,Non,1
Etudiant_84,25,Femme,Urbain,Secondaire,15.8,45,28,40,10,3,Oui,2
Etudiant_85,28,Homme,Rural,Aucun,0.5,9,57,45,5,2,Non,1
Etudiant_86,23,Femme,Rural,Secondaire,11.1,29,47,32,20,6,Oui,0
Etudiant_87,20,Femme,Rural,Aucun,7.4,3,50,49,2,1,Non,1
Etudiant_88,23,Femme,Rural,Secondaire,16.1,35,59,26,20,7,Oui,0
Etudiant_89,23,Femme,Urbain,Aucun,11.0,26,98,27,10,5,Oui,1
Etudiant_90,21,Femme,Urbain,Supérieur,12.2,26,86,44,14,9,Oui,1
Etudiant_91,28,Homme,Périurbain,Secondaire,1.7,35,75,25,0,10,Oui,1
Etudiant_92,22,Femme,Rural,Supérieur,6.2,33,88,5,8,1,Non,1
Etudiant_93,29,Homme,Périurbain,Secondaire,20.0,8,64,40,6,10,Oui,2
Etudiant_94,28,Homme,Périurbain,Aucun,14.4,24,19,34,7,1,Oui,2
Etudiant_95,28,Femme,Urbain,Secondaire,10.5,15,44,34,2,2,Oui,2
Etudiant_96,19,Femme,Urbain,Aucun,15.4,16,3,39,11,1,Oui,2
Etudiant_97,27,Homme,Urbain,Aucun,16.5,13,61,9,8,1,Non,2
Etudiant_98,28,Homme,Urbain,Secondaire,1.5,21,13,17,3,2,Oui,0
Etudiant_99,20,Femme,Périurbain,Supérieur,19.4,41,37,5,0,7,Non,2
Etudiant_100,26,Homme,Rural,Secondaire,12.8,5,53,19,1,8,Oui,2
Etudiant_101,29,Homme,Périurbain,Supérieur,9.0,28,10,5,12,7,Non,0
Etudiant_102,21,Homme,Périurbain,Aucun,13.6,23,14,32,14,2,Oui,2
Etudiant_103,20,Homme,Urbain,Secondaire,6.9,5,93,13,13,9,Oui,1
Etudiant_104,25,Homme,Rural,Secondaire,17.6,34,18,9,5,5,Non,2
Etudiant_105,24,Homme,Périurbain,Supérieur,15.6,46,44,34,13,8,Non,2
Etudiant_106,22,Femme,Urbain,Secondaire,12.8,12,39,20,15,3,Non,2
Etudiant_107,28,Homme,Urbain,Aucun,3.6,3,43,25,12,4,Oui,0
Etudiant_108,29,Femme,Rural,Secondaire,19.3,17,58,37,11,1,Oui,2
Etudiant_109,26,Femme,Périurbain,Aucun,8.7,24,100,40,17,5,Oui,1
Etudiant_110,21,Homme,Rural,Aucun,18.2,43,26,48,12,7,Non,2
Etudiant_111,28,Femme,Rural,Supérieur,1.1,38,66,41,3,2,Oui,0
Etudiant_112,23,Femme,Rural,Supérieur,2.5,38,61,43,15,9,Oui,0
Etudiant_113,30,Femme,Périurbain,Aucun,3.1,2,44,41,18,5,Non,0
Etudiant_114,30,Homme,Urbain,Supérieur,3.3,4,60,4,20,10,Non,0
Etudiant_115,18,Homme,Rural,Supérieur,6.5,12,12,19,7,10,Non,2
Etudiant_116,21,Homme,Rural,Aucun,14.2,48,56,44,5,3,Non,2
Etudiant_117,18,Homme,Périurbain,Secondaire,6.9,37,92,27,14,7,Non,1
Etudiant_118,30,Femme,Périurbain,Secondaire,18.8,46,89,46,2,2,Oui,1
Etudiant_119,23,Homme,Urbain,Supérieur,17.9,42,57,15,1,9,Non,2
Etudiant_120,24,Homme,Urbain,Supérieur,16.9,35,40,3,9,10,Non,2
Etudiant_121,22,Femme,Rural,Aucun,5.0,13,8,15,0,2,Non,2
Etudiant_122,19,Homme,Rural,Aucun,12.7,30,38,5,10,5,Oui,2
Etudiant_123,21,Homme,Périurbain,Aucun,11.0,13,5,27,8,2,Oui,2
Etudiant_124,27,Homme,Rural,Aucun,2.5,21,90,7,3,2,Non,1
Etudiant_125,29,Femme,Périurbain,Secondaire,6.1,19,14,29,2,8,Oui,2
Etudiant_126,23,Homme,Rural,Aucun,10.7,0,2,39,10,4,Oui,2
Etudiant_127,21,Femme,Périurbain,Aucun,10.1,13,43,38,5,10,Non,2
Etudiant_128,28,Femme,Rural,Supérieur,3.4,12,82,3,12,4,Non,0
Etudiant_129,25,Femme,Rural,Aucun,18.8,47,13,19,5,5,Non,2
Etudiant_130,24,Femme,Rural,Supérieur,3.1,7,86,42,2,9,Oui,1
Etudiant_131,28,Femme,Urbain,Aucun,13.2,47,21,47,17,4,Non,0
Etudiant_132,25,Homme,Rural,Aucun,14.4,48,94,42,2,6,Non,1
Etudiant_133,20,Femme,Rural,Supérieur,12.1,30,31,47,10,7,Non,2
Etudiant_134,22,Femme,Urbain,Secondaire,16.9,15,66,11,19,5,Non,1
Etudiant_135,20,Femme,Urbain,Secondaire,11.3,44,22,7,19,3,Non,0
Etudiant_136,21,Homme,Rural,Supérieur,16.5,38,70,0,15,1,Non,2
Etudiant_137,29,Femme,Périurbain,Supérieur,0.6,45,20,45,0,9,Non,0
Etudiant_138,26,Femme,Rural,Secondaire,0.9,13,42,8,13,8,Oui,0
Etudiant_139,26,Homme,Périurbain,Supérieur,12.8,25,71,44,20,4,Oui,1
Etudiant_140,22,Femme,Rural,Supérieur,11.5,15,54,0,5,8,Oui,2
Etudiant_141,29,Femme,Périurbain,Supérieur,13.0,35,59,10,19,6,Non,0
Etudiant_142,27,Homme,Rural,Supérieur,15.3,20,29,31,13,4,Oui,2
Etudiant_143,24,Femme,Urbain,Supérieur,8.3,49,51,22,5,1,Oui,0
Etudiant_144,27,Homme,Périurbain,Secondaire,12.8,18,80,33,1,1,Non,1
Etudiant_145,24,Femme,Rural,Supérieur,10.0,24,23,33,3,2,Oui,2
Etudiant_146,23,Femme,Rural,Secondaire,12.5,29,23,50,10,2,Oui,2
Etudiant_147,21,Femme,Urbain,Aucun,5.8,34,81,46,6,10,Oui,1
Etudiant_148,20,Homme,Périurbain,Secondaire,19.1,41,84,16,6,8,Oui,1
Etudiant_149,26,Homme,Périurbain,Aucun,9.7,22,55,10,13,3,Non,0
Etudiant_150,25,Homme,Périurbain,Secondaire,16.1,19,50,23,17,2,Oui,0
Etudiant_151,19,Homme,Urbain,Secondaire,13.7,16,3,8,17,9,Oui,2
Etudiant_152,30,Femme,Périurbain,Supérieur,5.9,23,94,47,8,2,Non,1
Etudiant_153,18,Homme,Périurbain,Secondaire,1.5,32,78,49,9,2,Non,1
Etudiant_154,19,Homme,Rural,Secondaire,1.2,31,25,17,9,5,Oui,0
Etudiant_155,20,Homme,Rural,Supérieur,8.8,29,57,46,7,4,Non,1
Etudiant_156,28,Femme,Urbain,Aucun,9.7,6,75,7,3,8,Non,1
Etudiant_157,20,Femme,Périurbain,Secondaire,4.1,46,54,49,1,5,Oui,1
Etudiant_158,30,Femme,Rural,Supérieur,12.1,30,49,1,12,5,Non,0
Etudiant_159,28,Femme,Urbain,Aucun,6.3,48,0,21,18,8,Oui,0
Etudiant_160,24,Femme,Périurbain,Secondaire,14.4,20,90,27,17,1,Non,1
Etudiant_161,27,Homme,Urbain,Secondaire,14.7,13,27,17,15,2,Oui,0
Etudiant_162,19,Homme,Périurbain,Secondaire,17.2,23,26,33,4,3,Non,2
Etudiant_163,24,Femme,Rural,Aucun,19.5,20,35,4,1,1,Non,2
Etudiant_164,24,Femme,Périurbain,Aucun,2.6,26,96,16,11,5,Oui,1
Etudiant_165,27,Homme,Périurbain,Secondaire,7.4,2,90,45,0,6,Oui,1
Etudiant_166,25,Femme,Périurbain,Secondaire,11.2,36,8,36,13,6,Oui,0
Etudiant_167,26,Femme,Périurbain,Aucun,6.4,14,73,40,2,7,Oui,1
Etudiant_168,22,Homme,Urbain,Supérieur,9.3,47,13,4,9,2,Non,0
Etudiant_169,26,Femme,Périurbain,Aucun,5.3,9,68,31,20,2,Oui,0
Etudiant_170,18,Femme,Urbain,Supérieur,5.0,1,23,29,19,1,Oui,0
Etudiant_171,28,Femme,Périurbain,Supérieur,1.9,16,46,32,15,1,Oui,0
Etudiant_172,29,Femme,Périurbain,Supérieur,5.8,35,41,23,6,3,Non,0
Etudiant_173,19,Homme,Urbain,Secondaire,7.7,37,25,3,3,3,Non,2
Etudiant_174,28,Femme,Rural,Secondaire,12.3,37,58,31,0,6,Oui,2
Etudiant_175,26,Homme,Rural,Supérieur,5.0,46,14,36,6,6,Oui,0
Etudiant_176,30,Femme,Urbain,Supérieur,17.3,26,33,10,5,8,Non,2
Etudiant_177,22,Femme,Périurbain,Supérieur,3.2,18,85,23,20,10,Oui,1
Etudiant_178,30,Femme,Rural,Aucun,6.5,9,62,10,9,5,Oui,0
Etudiant_179,28,Homme,Périurbain,Secondaire,11.6,12,67,16,2,2,Non,1
Etudiant_180,23,Femme,Urbain,Supérieur,6.3,21,81,49,15,6,Non,1
Etudiant_181,19,Femme,Urbain,Supérieur,15.3,14,40,6,3,6,Oui,2
Etudiant_182,22,Femme,Rural,Aucun,10.0,24,76,36,9,3,Oui,1
Etudiant_183,24,Homme,Rural,Secondaire,10.3,36,49,43,12,2,Oui,0
Etudiant_184,20,Femme,Périurbain,Supérieur,10.0,15,78,46,15,7,Non,1
Etudiant_185,25,Homme,Rural,Secondaire,6.2,31,50,7,15,7,Non,0
Etudiant_186,18,Homme,Urbain,Supérieur,0.5,35,75,14,8,8,Non,1
Etudiant_187,29,Femme,Urbain,Aucun,18.9,41,14,47,2,5,Non,2
Etudiant_188,29,Homme,Urbain,Aucun,10.1,43,44,32,20,7,Oui,0
Etudiant_189,22,Homme,Périurbain,Secondaire,19.3,21,45,0,17,8,Oui,2
Etudiant_190,26,Femme,Rural,Aucun,4.3,16,58,2,12,7,Non,0
Etudiant_191,30,Homme,Périurbain,Secondaire,7.1,48,79,0,5,3,Oui,0
Etudiant_192,20,Femme,Périurbain,Supérieur,1.0,31,22,15,11,2,Non,0
Etudiant_193,26,Homme,Rural,Aucun,9.9,46,86,2,12,3,Non,0
Etudiant_194,19,Homme,Urbain,Supérieur,17.6,41,90,30,11,1,Oui,1
Etudiant_195,28,Femme,Rural,Supérieur,13.1,47,38,23,5,3,Non,2
Etudiant_196,22,Femme,Rural,Aucun,9.4,31,78,24,14,2,Non,1
Etudiant_197,28,Femme,Rural,Aucun,10.7,29,75,9,1,7,Non,1
Etudiant_198,26,Homme,Périurbain,Aucun,16.9,10,10,11,8,10,Oui,2
Etudiant_199,27,Femme,Rural,Supérieur,8.6,46,86,2,14,8,Non,0
Etudiant_200,21,Femme,Urbain,Secondaire,17.6,50,17,35,14,10,Non,2
Etudiant_201,20,Femme,Rural,Secondaire,14.6,22,40,45,8,8,Oui,2
Etudiant_202,23,Femme,Urbain,Supérieur,15.3,10,15,47,7,3,Non,2
Etudiant_203,30,Femme,Urbain,Supérieur,7.3,8,30,41,8,10,Non,0
Etudiant_204,20,Femme,Urbain,Supérieur,8.0,46,39,26,18,7,Non,0
Etudiant_205,26,Femme,Périurbain,Aucun,11.4,34,14,14,1,6,Non,2
Etudiant_206,30,Homme,Périurbain,Secondaire,3.9,31,23,20,4,10,Non,0
Etudiant_207,26,Femme,Périurbain,Secondaire,11.1,11,47,15,3,1,Oui,2
Etudiant_208,18,Homme,Rural,Secondaire,1.5,34,88,26,2,3,Oui,1
Etudiant_209,27,Homme,Périurbain,Secondaire,10.1,41,18,46,11,8,Non,0
Etudiant_210,23,Femme,Rural,Secondaire,15.3,3,65,20,17,8,Oui,1
Etudiant_211,25,Homme,Urbain,Secondaire,5.6,33,49,17,13,2,Oui,0
Etudiant_212,18,Homme,Rural,Supérieur,19.8,2,53,4,18,7,Oui,2
Etudiant_213,19,Homme,Urbain,Supérieur,13.6,4,76,36,7,8,Non,1
Etudiant_214,23,Homme,Rural,Aucun,2.4,42,17,23,17,1,Oui,0
Etudiant_215,30,Homme,Périurbain,Supérieur,19.5,3,73,7,1,2,Oui,2
Etudiant_216,22,Homme,Urbain,Supérieur,7.9,48,49,32,12,5,Oui,0
Etudiant_217,21,Homme,Rural,Secondaire,15.9,0,54,43,16,6,Oui,1
Etudiant_218,18,Homme,Rural,Aucun,6.8,26,23,3,13,1,Non,0
Etudiant_219,21,Homme,Périurbain,Secondaire,18.8,8,62,11,17,9,Oui,2
Etudiant_220,27,Homme,Périurbain,Aucun,15.1,40,81,14,15,10,Oui,1
Etudiant_221,19,Femme,Périurbain,Supérieur,4.0,14,68,33,18,10,Non,1
Etudiant_222,19,Homme,Rural,Supérieur,10.2,4,88,2,7,4,Non,1
Etudiant_223,29,Homme,Périurbain,Secondaire,10.0,45,82,25,15,6,Oui,0
Etudiant_224,25,Femme,Rural,Secondaire,0.9,9,22,4,9,9,Non,0
Etudiant_225,19,Femme,Périurbain,Secondaire,2.7,0,71,29,2,9,Non,1
Etudiant_226,30,Femme,Rural,Supérieur,6.7,13,21,18,12,10,Non,0
Etudiant_227,26,Homme,Urbain,Supérieur,9.5,32,62,49,1,2,Oui,1
Etudiant_228,30,Homme,Périurbain,Supérieur,9.1,29,36,19,16,7,Oui,0
Etudiant_229,20,Homme,Urbain,Aucun,12.1,23,17,20,18,4,Non,2
Etudiant_230,20,Femme,Rural,Secondaire,10.3,3,23,5,16,8,Oui,2
Etudiant_231,28,Homme,Urbain,Aucun,6.6,39,40,35,18,6,Oui,0
Etudiant_232,25,Homme,Périurbain,Supérieur,12.3,40,57,29,19,7,Oui,0
Etudiant_233,26,Femme,Périurbain,Supérieur,3.3,42,79,0,4,3,Oui,0
Etudiant_234,20,Femme,Rural,Aucun,19.8,39,6,23,3,9,Oui,2
Etudiant_235,22,Femme,Périurbain,Secondaire,14.8,30,45,12,14,10,Oui,2
Etudiant_236,26,Homme,Urbain,Secondaire,6.0,42,1,18,5,1,Oui,0
Etudiant_237,27,Homme,Périurbain,Supérieur,6.7,31,62,36,5,1,Oui,1
Etudiant_238,24,Homme,Urbain,Supérieur,16.6,1,17,50,6,3,Oui,2
Etudiant_239,21,Homme,Périurbain,Supérieur,10.6,0,24,19,6,9,Oui,2
Etudiant_240,26,Femme,Rural,Secondaire,14.2,34,49,47,4,8,Non,2
Etudiant_241,30,Homme,Périurbain,Aucun,6.0,35,71,39,1,8,Oui,1
Etudiant_242,29,Homme,Rural,Supérieur,16.3,26,64,15,13,3,Non,0
Etudiant_243,29,Femme,Périurbain,Supérieur,7.4,0,83,29,2,2,Oui,1
Etudiant_244,21,Femme,Rural,Aucun,13.5,1,63,23,13,8,Non,1
Etudiant_245,29,Femme,Urbain,Secondaire,19.6,33,52,37,6,6,Oui,2
Etudiant_246,22,Homme,Urbain,Supérieur,11.7,46,87,31,20,4,Oui,1
Etudiant_247,24,Femme,Urbain,Secondaire,15.9,17,62,49,4,6,Non,1
Etudiant_248,28,Homme,Urbain,Supérieur,14.5,34,53,49,19,5,Non,0
Etudiant_249,28,Femme,Rural,Secondaire,13.8,18,90,12,8,1,Non,1
Etudiant_250,23,Femme,Rural,Aucun,0.5,1,56,46,10,9,Oui,1
Etudiant_251,25,Homme,Urbain,Supérieur,9.5,32,62,34,2,4,Oui,1
Etudiant_252,26,Femme,Urbain,Supérieur,19.3,44,21,48,2,9,Non,2
Etudiant_253,25,Femme,Urbain,Supérieur,15.7,43,10,50,12,7,Oui,2
Etudiant_254,19,Femme,Périurbain,Supérieur,15.5,27,72,15,17,7,Oui,1
Etudiant_255,21,Homme,Urbain,Supérieur,11.6,11,3,9,12,4,Non,2
Etudiant_256,21,Femme,Rural,Aucun,14.4,6,97,0,17,2,Oui,1
Etudiant_257,19,Homme,Rural,Supérieur,11.7,6,28,26,10,8,Non,2
Etudiant_258,23,Femme,Rural,Supérieur,3.4,33,37,1,8,8,Non,0
Etudiant_259,18,Femme,Périurbain,Secondaire,12.6,9,4,14,16,10,Oui,2
Etudiant_260,27,Femme,Périurbain,Supérieur,12.4,15,35,34,14,8,Oui,0
Etudiant_261,26,Femme,Périurbain,Secondaire,16.8,12,28,22,0,2,Non,2
Etudiant_262,21,Femme,Périurbain,Aucun,3.0,39,68,40,19,8,Non,0
Etudiant_263,27,Femme,Rural,Secondaire,13.6,33,36,44,18,8,Oui,0
Etudiant_264,21,Homme,Périurbain,Secondaire,0.6,16,21,0,16,6,Oui,0
Etudiant_265,18,Homme,Périurbain,Aucun,19.0,22,99,21,13,2,Oui,1
Etudiant_266,19,Femme,Périurbain,Aucun,2.2,17,58,0,3,8,Oui,1
Etudiant_267,29,Femme,Urbain,Secondaire,0.4,50,72,48,13,1,Non,0
Etudiant_268,28,Homme,Rural,Secondaire,6.3,25,95,42,4,2,Oui,1
Etudiant_269,18,Femme,Périurbain,Aucun,3.0,5,98,24,4,7,Oui,1
Etudiant_270,21,Femme,Urbain,Aucun,13.8,23,98,47,18,7,Oui,1
Etudiant_271,19,Femme,Rural,Aucun,8.2,25,63,46,18,1,Non,1
Etudiant_272,18,Homme,Périurbain,Aucun,15.5,29,70,19,18,9,Oui,1
Etudiant_273,23,Femme,Rural,Aucun,18.4,36,65,6,3,9,Oui,2
Etudiant_274,19,Femme,Rural,Secondaire,17.5,15,14,13,3,1,Oui,2
Etudiant_275,26,Homme,Urbain,Aucun,14.7,44,73,33,18,2,Non,0
Etudiant_276,21,Femme,Périurbain,Supérieur,1.2,14,14,15,3,10,Oui,2
Etudiant_277,22,Homme,Rural,Supérieur,2.8,19,34,26,9,10,Oui,0
Etudiant_278,28,Femme,Urbain,Supérieur,4.1,43,99,31,17,5,Non,0
Etudiant_279,25,Femme,Rural,Supérieur,6.5,5,69,3,11,9,Non,1
Etudiant_280,21,Femme,Rural,Aucun,13.2,41,46,9,13,9,Non,2
Etudiant_281,26,Femme,Urbain,Supérieur,10.5,41,69,45,8,4,Oui,1
Etudiant_282,20,Femme,Rural,Secondaire,6.3,48,96,17,12,8,Non,1
Etudiant_283,29,Homme,Urbain,Supérieur,3.5,2,5,5,20,6,Oui,0
Etudiant_284,27,Homme,Périurbain,Aucun,18.2,5,97,2,15,6,Non,1
Etudiant_285,27,Homme,Rural,Supérieur,6.8,25,92,14,18,1,Non,0
Etudiant_286,25,Homme,Périurbain,Secondaire,7.1,24,56,33,19,4,Non,0
Etudiant_287,21,Femme,Périurbain,Aucun,15.4,24,69,26,15,8,Oui,1
Etudiant_288,30,Femme,Rural,Aucun,14.4,35,27,44,1,6,Non,2
Etudiant_289,25,Homme,Urbain,Aucun,12.9,30,54,23,5,9,Oui,2
Etudiant_290,30,Femme,Rural,Supérieur,13.9,3,13,29,8,10,Non,2
Etudiant_291,24,Femme,Rural,Supérieur,12.2,40,94,47,12,10,Non,1
Etudiant_292,21,Femme,Urbain,Aucun,3.8,0,83,5,4,8,Oui,1
Etudiant_293,19,Homme,Urbain,Supérieur,4.9,44,96,37,19,6,Oui,1
Etudiant_294,19,Homme,Rural,Secondaire,11.2,10,31,6,19,8,Non,2
Etudiant_295,28,Femme,Urbain,Aucun,4.5,5,38,32,12,2,Non,0
Etudiant_296,24,Homme,Périurbain,Secondaire,19.5,31,4,8,1,2,Non,2
Etudiant_297,23,Femme,Urbain,Secondaire,6.0,27,57,40,12,4,Oui,1
Etudiant_298,24,Homme,Périurbain,Supérieur,5.8,41,33,25,10,1,Oui,0
Etudiant_299,24,Femme,Périurbain,Supérieur,4.1,50,44,4,7,6,Oui,0
Etudiant_300,25,Femme,Périurbain,Aucun,14.1,21,11,37,1,6,Oui,2
Etudiant_301,29,Femme,Urbain,Secondaire,6.3,36,56,36,15,5,Oui,0
Etudiant_302,18,Femme,Urbain,Supérieur,7.0,6,15,3,8,9,Non,2
Etudiant_303,28,Femme,Rural,Secondaire,18.7,33,99,27,11,9,Oui,1
Etudiant_304,28,Femme,Urbain,Supérieur,15.9,2,30,42,0,6,Non,2
Etudiant_305,28,Femme,Urbain,Secondaire,5.5,14,26,8,10,2,Non,0
Etudiant_306,19,Femme,Périurbain,Aucun,2.4,13,94,15,9,1,Non,1
Etudiant_307,18,Femme,Urbain,Supérieur,13.5,44,75,18,9,3,Oui,1
Etudiant_308,24,Femme,Urbain,Aucun,7.6,36,88,16,8,8,Oui,1
Etudiant_309,29,Femme,Périurbain,Secondaire,19.6,30,44,20,15,3,Non,2
Etudiant_310,23,Homme,Urbain,Secondaire,16.4,17,90,25,3,7,Non,1
Etudiant_311,30,Homme,Périurbain,Aucun,19.1,2,78,44,7,2,Non,1
